Spoken form, Cursorless identifier
# binder, bindClassFunction.name
# bold, bold.text
# con type, constantDeclarationWithType.value
# con, constantDeclaration.value
# div, div.body
# let type, letDeclarationWithType.value
# let, letDeclaration.value
# nest, nestedMap.items
# switch, switchStatement.caseBody
# use effect, useEffect.body
block, block.body
class, classDeclaration.body
condition, ifStatement.condition
else, ifElseStatement.alternative
for, forEachStatement.body
funk type, functionDeclarationWithType.body
funk, functionDeclaration.body
group, group.pattern
if else, ifElseStatement.consequence
if, ifStatement.consequence
lambda block, lambdaBlock.body
lambda, lambdaExpression.expression
link, link.text
list, list.elem1
map, map.value
node, named_node.body
on ready, talonOnReady.body
try, tryCatchStatement.body
turn dish, ternaryExpression.condition
turn else, ternaryExpression.alternative
turn, ternaryExpression.value
when, whenStatement.body
while, whileStatement.body
with, withStatement.body
